property_id,title,district,address,total_price,price_per_ping,building_ping,land_ping,rooms,living_rooms,bathrooms,parking,parking_type,property_type,floor,total_floor,age,orientation,tags,features,image,property_url,update_time,is_price_drop,is_new,mrt,original_price,source
KS194773,農十六公園｜輕軌｜樹海樹海三房,鼓山區,高雄市鼓山區龍勝路,1589,43.6,36.48,4.28,3,2,2,False,無,大樓,3,14,21.6,,"近學校,近公園,近市場",農十六稀有公園首排，可自行設計喜歡的裝潢,https://img.hbhousing.com.tw/pictures/D496%2fD496KS194773a.jpg?1782703940,https://www.hbhousing.com.tw/detail?sn=KS194773,2026-06-29,False,False,捷運-龍華國小 約132公尺,,住商
KS191932,美術京城康橋陽台進出3房平車,鼓山區,高雄市鼓山區美術東二路,1638,36.5,44.92,6.4,3,2,2,True,平面,大樓,6,14,21.5,,"近學校,近公園,降價物件,近市場,店長推薦",緊鄰青海商圈，寶雅星巴克全聯及醫院俱全，近願景橋，5分鐘即達輕軌站,https://img.hbhousing.com.tw/pictures/D258%2fD258KS191932a.jpg?1782703940,https://www.hbhousing.com.tw/detail?sn=KS191932,2026-06-29,True,False,捷運-美術館 約282公尺,1688,住商
KS195376,美術館特區三面採光三房車位,鼓山區,高雄市鼓山區美術北三路,1598,38.2,41.84,4.38,3,2,2,True,平面,大樓,15,15,19.7,,"近學校,近公園,近市場",三面採光，正三房室內大坪數，主衛開窗，距台鐵內惟站步行6分鐘,https://img.hbhousing.com.tw/pictures/D177%2fD177KS195376a.jpg?1782703940,https://www.hbhousing.com.tw/detail?sn=KS195376,2026-06-29,False,False,,,住商
gZB06702,美術館高樓景觀三房,鼓山區,高雄市鼓山區逢甲路,1548,34.3,45.13,5.15,3,2,2,False,無,大樓,11,14,24.4,,"近學校,近公園,降價物件,近市場",高美館高樓景觀三房，稀有釋出，美術館景觀盡收眼簾,https://img.great-home.com.tw/pictures/H222%2fH222ZB06702a.jpg?1782703940,https://www.hbhousing.com.tw/detail?sn=gZB06702,2026-06-29,True,False,捷運-內惟藝術中心 約992公尺,1698,大家房屋
s3763KM,美術白天鵝高樓Ｄ９,鼓山區,高雄市鼓山區美術東四路,1560,40.8,38.28,3.06,1,2,2,True,平面,大樓,15,24,2.8,,近公園,全棟淨水3M軟水系統，社區全戶配平面車位，物業管理,https://res.sinyi.com.tw/buy/3763KM/bigimg/A.JPG,https://www.hbhousing.com.tw/detail?sn=s3763KM,2026-06-29,False,True,,,信義房屋
s2126DL,馬爾地夫採光３房車位,鼓山區,高雄市鼓山區美術北三路,1598,38.2,41.84,4.39,3,2,2,True,平面,大樓,15,15,19.7,,"近學校,近公園,近市場",社區維護管理佳，屋主惜屋屋況良好，高樓層通風採光佳，優質學區,https://res.sinyi.com.tw/buy/2126DL/bigimg/A.JPG,https://www.hbhousing.com.tw/detail?sn=s2126DL,2026-06-29,False,False,捷運-美術館 約929公尺,,信義房屋
s8265PH,巨蛋首選高樓寬敞四房平車,鼓山區,高雄市鼓山區文忠路,1550,27.1,57.18,3.95,4,2,2,True,平面,大樓,10,19,34.9,,"近學校,近公園,近市場",明星學區，文風鼎盛，鄰近R14巨蛋捷運站，一層二戶住戶單純,https://res.sinyi.com.tw/buy/8265PH/bigimg/A.JPG,https://www.hbhousing.com.tw/detail?sn=s8265PH,2026-06-29,False,False,捷運-巨蛋 約619公尺,,信義房屋
s47184K,近美術館山景３＋１附平車,鼓山區,高雄市鼓山區厚德路,1598,27.6,57.98,7.02,3,2,2,True,平面,大樓,5,14,22.5,,"近學校,近市場",室內大空間方正好規劃，三面採光通風視野優，附B1大平面車位,https://res.sinyi.com.tw/buy/47184K/bigimg/A.JPG,https://www.hbhousing.com.tw/detail?sn=s47184K,2026-06-29,False,False,捷運-馬卡道 約296公尺,,信義房屋
s9333XN,美術館高樓景觀邊間平車,鼓山區,高雄市鼓山區美術東四路,1598,40.8,39.18,3.15,0,2,2,True,平面,大樓,15,24,2.8,,"近學校,近公園,近市場",高樓邊間三面採光，前後陽台通風佳，現況無隔間好規劃，戶型稀有,https://res.sinyi.com.tw/buy/9333XN/bigimg/A.JPG,https://www.hbhousing.com.tw/detail?sn=s9333XN,2026-06-29,False,True,,,信義房屋
s3553LQ,美術館成家質感三房,鼓山區,高雄市鼓山區美術東七街,1500,39.7,37.83,3.83,3,2,2,False,無,大樓,3,15,20.4,,"近學校,近公園,近市場",美術特區環境清幽，近美術館園區，住戶單純居家首選，大樓管理嚴謹,https://res.sinyi.com.tw/buy/3553LQ/bigimg/A.JPG,https://www.hbhousing.com.tw/detail?sn=s3553LQ,2026-06-29,False,False,捷運-聯合醫院 約811公尺,,信義房屋
